X measured,X true,Z measured,Z true,X error,X absolute error,Z error,Z absolute error
-1152,-1230,2558,2700,78,78,-142,142
-1147,-1230,2585,2700,83,83,-115,115
-1145,-1230,2553,2700,85,85,-147,147
-1142,-1230,2574,2700,88,88,-126,126
-1140,-1230,2569,2700,90,90,-131,131
-1139,-1230,2838,3000,91,91,-162,162
-1138,-1230,2564,2700,92,92,-136,136
-1131,-1230,2812,3000,99,99,-188,188
-1131,-1230,2825,3000,99,99,-175,175
-1128,-1230,2818,3000,102,102,-182,182
-1120,-1230,2825,3000,110,110,-175,175
-1115,-1230,2338,2400,115,115,-62,62
-1114,-1230,2347,2400,116,116,-53,53
-1113,-1230,2347,2400,117,117,-53,53
-1112,-1230,2352,2400,118,118,-48,48
-1110,-1230,2329,2400,120,120,-71,71
-1098,-1230,2329,2400,132,132,-71,71
-1085,-1230,2134,2100,145,145,34,34
-1078,-1230,2119,2100,152,152,19,19
-1078,-1230,2140,2100,152,152,40,40
-1073,-1230,2130,2100,157,157,30,30
-1069,-1230,2122,2100,161,161,22,22
-1067,-1230,2126,2100,163,163,26,26
-635,-650,2115,2100,15,15,15,15
-632,-650,2329,2400,18,18,-71,71
-626,-650,2112,2100,24,24,12,12
-621,-650,1763,1800,29,29,-37,37
-620,-650,1760,1800,30,30,-40,40
-620,-650,1763,1800,30,30,-37,37
-620,-650,2641,2700,30,30,-59,59
-618,-650,1758,1800,32,32,-42,42
-616,-650,1753,1800,34,34,-47,47
-616,-650,2338,2400,34,34,-62,62
-615,-650,1753,1800,35,35,-47,47
-615,-650,2641,2700,35,35,-59,59
-614,-650,2329,2400,36,36,-71,71
-612,-650,2619,2700,38,38,-81,81
-611,-650,2072,2100,39,39,-28,28
-610,-650,2641,2700,40,40,-59,59
-610,-650,2664,2700,40,40,-36,36
-609,-650,2034,2100,41,41,-66,66
-609,-650,2653,2700,41,41,-47,47
-606,-650,2329,2400,44,44,-71,71
-604,-650,2054,2100,46,46,-46,46
-600,-650,1456,1500,50,50,-44,44
-598,-650,1456,1500,52,52,-44,44
-598,-650,2329,2400,52,52,-71,71
-597,-650,1446,1500,53,53,-54,54
-595,-650,1453,1500,55,55,-47,47
-595,-650,1456,1500,55,55,-44,44
-591,-650,1449,1500,59,59,-51,51
-591,-650,1990,2100,59,59,-110,110
-591,-650,2311,2400,59,59,-89,89
-590,-650,2825,3000,60,60,-175,175
-588,-650,2812,3000,62,62,-188,188
-587,-650,2825,3000,63,63,-175,175
-582,-650,2812,3000,68,68,-188,188
-582,-650,2825,3000,68,68,-175,175
-577,-650,2812,3000,73,73,-188,188
-533,-650,1215,1200,117,117,15,15
-532,-650,1212,1200,118,118,12,12
-532,-650,1213,1200,118,118,13,13
-531,-650,1211,1200,119,119,11,11
-463,-650,969,900,187,187,69,69
-460,-650,963,900,190,190,63,63
-459,-650,964,900,191,191,64,64
-458,-650,968,900,192,192,68,68
-455,-650,962,900,195,195,62,62
-453,-650,962,900,197,197,62,62
-53,0,2825,3000,-53,53,-175,175
-24,0,1467,1500,-24,24,-33,33
-23,0,1470,1500,-23,23,-30,30
-22,0,1467,1500,-22,22,-33,33
-21,0,1467,1500,-21,21,-33,33
-16,0,1467,1500,-16,16,-33,33
-13,0,2630,2700,-13,13,-70,70
-7,0,300,300,-7,7,0,0
-7,0,301,300,-7,7,1,1
-1,0,2097,2100,-1,1,-3,3
-1,0,2108,2100,-1,1,8,8
-1,0,2111,2100,-1,1,11,11
-1,0,2653,2700,-1,1,-47,47
-1,0,2688,2700,-1,1,-12,12
