X measured,X true,Z measured,Z true,X error,X absolute error,Z error,Z absolute error
-7,0,300,300,-7,7,0,0
-7,0,301,300,-7,7,1,1
13,0,598,600,13,13,-2,2
18,0,598,600,18,18,-2,2
10,0,601,600,10,10,1,1
15,0,602,600,15,15,2,2
15,0,606,600,15,15,6,6
6,0,900,900,6,6,0,0
11,0,903,900,11,11,3,3
5,0,904,900,5,5,4,4
10,0,905,900,10,10,5,5
8,0,909,900,8,8,9,9
9,0,1187,1200,9,9,-13,13
3,0,1188,1200,3,3,-12,12
5,0,1189,1200,5,5,-11,11
9,0,1189,1200,9,9,-11,11
11,0,1196,1200,11,11,-4,4
9,0,1201,1200,9,9,1,1
-597,-650,1446,1500,53,53,-54,54
-591,-650,1449,1500,59,59,-51,51
-595,-650,1453,1500,55,55,-47,47
-600,-650,1456,1500,50,50,-44,44
-598,-650,1456,1500,52,52,-44,44
-595,-650,1456,1500,55,55,-44,44
574,650,1463,1500,-76,76,-37,37
576,650,1463,1500,-74,74,-37,37
577,650,1463,1500,-73,73,-37,37
-24,0,1467,1500,-24,24,-33,33
-22,0,1467,1500,-22,22,-33,33
-21,0,1467,1500,-21,21,-33,33
-16,0,1467,1500,-16,16,-33,33
-23,0,1470,1500,-23,23,-30,30
572,650,1470,1500,-78,78,-30,30
588,650,1470,1500,-62,62,-30,30
-616,-650,1753,1800,34,34,-47,47
-615,-650,1753,1800,35,35,-47,47
21,0,1753,1800,21,21,-47,47
606,650,1753,1800,-44,44,-47,47
611,650,1756,1800,-39,39,-44,44
-618,-650,1758,1800,32,32,-42,42
16,0,1758,1800,16,16,-42,42
18,0,1758,1800,18,18,-42,42
21,0,1758,1800,21,21,-42,42
610,650,1758,1800,-40,40,-42,42
616,650,1758,1800,-34,34,-42,42
-620,-650,1760,1800,30,30,-40,40
-621,-650,1763,1800,29,29,-37,37
-620,-650,1763,1800,30,30,-37,37
618,650,1763,1800,-32,32,-37,37
610,650,1766,1800,-40,40,-34,34
-591,-650,1990,2100,59,59,-110,110
584,650,2014,2100,-66,66,-86,86
589,650,2014,2100,-61,61,-86,86
598,650,2027,2100,-52,52,-73,73
-609,-650,2034,2100,41,41,-66,66
608,650,2041,2100,-42,42,-59,59
-604,-650,2054,2100,46,46,-46,46
-611,-650,2072,2100,39,39,-28,28
613,650,2075,2100,-37,37,-25,25
-1,0,2097,2100,-1,1,-3,3
3,0,2100,2100,3,3,0,0
608,650,2104,2100,-42,42,4,4
-1,0,2108,2100,-1,1,8,8
-1,0,2111,2100,-1,1,11,11
3,0,2111,2100,3,3,11,11
-626,-650,2112,2100,24,24,12,12
-635,-650,2115,2100,15,15,15,15
-591,-650,2311,2400,59,59,-89,89
592,650,2320,2400,-58,58,-80,80
-632,-650,2329,2400,18,18,-71,71
-614,-650,2329,2400,36,36,-71,71
-606,-650,2329,2400,44,44,-71,71
-598,-650,2329,2400,52,52,-71,71
568,650,2329,2400,-82,82,-71,71
-616,-650,2338,2400,34,34,-62,62
614,650,2356,2400,-36,36,-44,44
605,650,2365,2400,-45,45,-35,35
24,0,2374,2400,24,24,-26,26
20,0,2383,2400,20,20,-17,17
34,0,2383,2400,34,34,-17,17
607,650,2383,2400,-43,43,-17,17
602,650,2388,2400,-48,48,-12,12
